ORF,Name,Allele,Strain ID,Plate,Row,Column
YMR271C,URA10,,DMA3865,2,14,1
YBL074C,AAR2,aar2-5001,TSA1108,2,14,2
YLR457C,NBP1,nbp1-1,TSA222,2,14,3
YDR311W,TFB1,tfb1-6,TSA715,2,14,4
YGL055W,OLE1,ole1-m2,TSA506,2,14,5
YHR118C,ORC6,orc6-5001,TSA1136,2,14,6
YMR005W,TAF4,taf4-18,TSA942,2,14,7
YKL006C-A,SFT1,sft1-15,TSA619,2,14,8
YMR239C,RNT1,rnt1-47,TSA674,2,14,9
YPL124W,SPC29,spc29-3,TSA707,2,14,10
YLR249W,YEF3,yef3-f650s,TSA584,2,14,11
YDR331W,GPI8,gpi8-5001,TSA1230,2,14,12
YFL034C-B,MOB2,mob2-28,TSA936,2,14,13
YNL182C,IPI3,ipi3-5001,TSA1193,2,14,14
YHR129C,ARP1,,DMA2165,2,14,15
YJL174W,KRE9,kre9-5001,TSA1267,2,14,16
YKL208W,CBT1,,DMA2913,2,14,17
YMR220W,ERG8,erg8-1,TSA320,2,14,18
YGR195W,SKI6,ski6-5001,TSA1126,2,14,19
YDR081C,PDC2,pdc2-5001,TSA1239,2,14,20
YMR033W,ARP9,arp9-1,TSA495,2,14,21
YER008C,SEC3,sec3-2,TSA43,2,14,22
YMR123W,PKR1,,DMA3715,2,14,23
YMR271C,URA10,,DMA3865,2,14,24
YMR271C,URA10,,DMA3865,2,15,1
YDR170C,SEC7,sec7-1,TSA44,2,15,2
YHR030C,SLT2,,DMA2112,2,15,3
YMR001C,CDC5,cdc5-1,TSA879,2,15,4
YDR182W,CDC1,cdc1-1,TSA31,2,15,5
YJR054W,KCH1,,DMA2649,2,15,6
YHR083W,SAM35,sam35-2,TSA493,2,15,7
YJR072C,NPA3,npa3-5001,TSA1224,2,15,8
YDR088C,SLU7,slu7-ts2,TSA657,2,15,9
YPR181C,SEC23,sec23-1,TSA900,2,15,10
YER168C,CCA1,cca1-1,TSA958,2,15,11
YDR201W,SPC19,spc19-5001,TSA1122,2,15,12
YDR478W,SNM1,snm1-5001,TSA1184,2,15,13
YOR057W,SGT1,sgt1-5,TSA427,2,15,14
YPR034W,ARP7,arp7-e411k,TSA930,2,15,15
YKL024C,URA6,ura6-6,TSA1034,2,15,16
YLR197W,NOP56,nop56-5001,TSA1140,2,15,17
YDR145W,TAF12,taf12-l464a,TSA517,2,15,18
YMR075W,RCO1,,DMA3677,2,15,19
YCR002C,CDC10,cdc10-2,TSA79,2,15,20
YDL030W,PRP9,prp9-1,TSA597,2,15,21
YML077W,BET5,bet5-5001,TSA1131,2,15,22
YDL147W,RPN5,rpn5-5001,TSA1080,2,15,23
YMR271C,URA10,,DMA3865,2,15,24
YMR271C,URA10,,DMA3865,2,16,1
YMR271C,URA10,,DMA3865,2,16,2
YMR271C,URA10,,DMA3865,2,16,3
YMR271C,URA10,,DMA3865,2,16,4
YMR271C,URA10,,DMA3865,2,16,5
YMR271C,URA10,,DMA3865,2,16,6
YMR271C,URA10,,DMA3865,2,16,7
YMR271C,URA10,,DMA3865,2,16,8
YMR271C,URA10,,DMA3865,2,16,9
YMR271C,URA10,,DMA3865,2,16,10
