ORF,Name,Allele,Strain ID,Cluster_normal-0
YLR100W,ERG27,erg27-5001,TSA1172-37C,0.41379310344827586
YDL193W,NUS1,nus1-5001,TSA1223-37C,0.41025641025641024
YDR062W,LCB2,lcb2-1,TSA586-37C,0.3939393939393939
YKL048C,ELM1,,DMA2781-37C,0.38461538461538464
YIR022W,SEC11,sec11-2,TSA318-37C,0.3770491803278688
YNL287W,SEC21,sec21-1,TSA46-37C,0.36585365853658536
YOR085W,OST3,,DMA4524-37C,0.36363636363636365
YJL173C,RFA3,rfa3-313,TSA653-37C,0.35294117647058826
YLR440C,SEC39,sec39-5001,TSA1214-37C,0.3448275862068966
YNL041C,COG6,,DMA3970-37C,0.34375
YIR008C,PRI1,pri1-m4,TSA340-37C,0.3346153846153846
YMR296C,LCB1,lcb1-2,TSA603-37C,0.32989690721649484
YFL039C,ACT1,act1-112,TSA218-37C,0.3275862068965517
YLR314C,CDC3,cdc3-3,TSA130-37C,0.31746031746031744
YPR055W,SEC8,sec8-9,TSA122-37C,0.3157894736842105
YGR172C,YIP1,yip1-4,TSA980-37C,0.3148148148148148
YNL079C,TPM1,tpm1-supp1,DMA3988-37C,0.30337078651685395
YOR336W,KRE5,kre5-ts2,TSA139-37C,0.30303030303030304
YOR122C,PFY1,pfy1-14,TSA429-37C,0.29545454545454547
YDR168W,CDC37,cdc37-ts,TSA315-37C,0.2907488986784141
YNL071W,LAT1,,DMA3994-37C,0.28846153846153844
YHR129C,ARP1,,DMA2165-37C,0.28378378378378377
YNR035C,ARC35,arc35-6,TSA471-37C,0.2807017543859649
YHR058C,MED6,med6-ts,TSA1017-37C,0.2777777777777778
YDR311W,TFB1,tfb1-6,TSA715-37C,0.2743362831858407
YMR304W,UBP15,,DMA3909-37C,0.2742857142857143
YDR062W,LCB2,lcb2-19,TSA587-37C,0.27235772357723576
YBR135W,CKS1,cks1-38,TSA332-37C,0.2677165354330709
YFL039C,ACT1,act1-4,TSA138-37C,0.26490066225165565
YPL228W,CET1,cet1-1,TSA270-37C,0.2631578947368421
YPR168W,NUT2,nut2-ts,TSA818-37C,0.25806451612903225
YOR035C,SHE4,,DMA4457-37C,0.2549019607843137
YHR191C,CTF8,ctf8-9,TSA323-37C,0.2545454545454545
YDR437W,GPI19,gpi19-2xh,TSA1012-37C,0.253125
YGL137W,SEC27,sec27-1,TSA546-37C,0.25
YGR119C,NUP57,nup57-e17,TSA954-37C,0.2413793103448276
YLL036C,PRP19,prp19-1,TSA247-37C,0.2413793103448276
YBR109C,CMD1,cmd1-8,TSA157-37C,0.24054982817869416
YPR161C,SGV1,sgv1-5001,TSA1251-37C,0.24025974025974026
YDR311W,TFB1,tfb1-1,TSA701-37C,0.2397003745318352
YDR498C,SEC20,sec20-1,TSA55-37C,0.23809523809523808
YBL050W,SEC17,sec17-1,TSA45-37C,0.23809523809523808
YPR088C,SRP54,srp54-5001,TSA1233-37C,0.23741007194244604
YPR161C,SGV1,sgv1-35,TSA1029-37C,0.23622047244094488
YJL036W,SNX4,,dma2471,0.23595505617977527
YHR191C,CTF8,ctf8-162,TSA322-37C,0.23404255319148937
YGL092W,NUP145,nup145-r4,TSA977-37C,0.23232323232323232
YGR120C,COG2,cog2-1,TSA187-37C,0.23214285714285715
YNL163C,RIA1,ria1-ts,TSA1055-37C,0.23214285714285715
YOR174W,MED4,med4-54,TSA953-37C,0.2318840579710145
YDR182W,CDC1,cdc1-1,TSA31-37C,0.23178807947019867
YPL010W,RET3,ret3-1,TSA689-37C,0.23113207547169812
YNL102W,POL1,pol1-2,TSA344-37C,0.23106060606060605
YMR281W,GPI12,gpi12-5001,TSA1162-37C,0.23076923076923078
YMR298W,LIP1,lip1-5001,TSA1059-37C,0.2305084745762712
YEL034W,HYP2,hyp2-1159-supp1,TSA749-37C,0.2289156626506024
YHR036W,BRL1,brl1-2221,TSA1038-37C,0.22764227642276422
YLR310C,CDC25,cdc25-2-supp1,TSA29-37C,0.22737306843267108
YDR062W,LCB2,lcb2-16,TSA585-37C,0.22727272727272727
YMR205C,PFK2,pfk2-supp1,DMA3795-37C,0.22602739726027396
YOL135C,MED7,med7-141,TSA740-37C,0.22580645161290322
YFL039C,ACT1,act1-101,TSA136-37C,0.2246376811594203
YKR062W,TFA2,tfa2-45,TSA692-37C,0.22413793103448276
YLR314C,CDC3,cdc3-1,TSA885-37C,0.22404371584699453
YDL084W,SUB2,sub2-1,TSA976-37C,0.22384937238493724
YNL102W,POL1,pol1-1,TSA362-37C,0.2222222222222222
YLR071C,RGR1,rgr1-100,TSA908-37C,0.22093023255813954
YDR228C,PCF11,pcf11-1,TSA808-37C,0.2192513368983957
YBR070C,ALG14,alg14-5001,TSA1061-37C,0.21875
YGL130W,CEG1,ceg1-ts,TSA355-37C,0.21671826625386997
YJL085W,EXO70,exo70-38,TSA848-37C,0.2152619589977221
