ORF,Name,Allele,Strain ID,Cluster_normal-5
YDL195W,SEC31,sec31-1,TSA852-37C,0.46949891067538124
YNR026C,SEC12,sec12-4,TSA60-37C,0.46153846153846156
YER171W,RAD3,rad3-ts14,TSA588-37C,0.45652173913043476
YIL004C,BET1,bet1-1,TSA792-37C,0.4228723404255319
YPL085W,SEC16,sec16-2,TSA119-37C,0.41926729986431477
YGL145W,TIP20,tip20-5,TSA271-37C,0.40942028985507245
YDR189W,SLY1,sly1-ts,TSA251-37C,0.4088495575221239
YDL058W,USO1,uso1-1,TSA441-37C,0.4073319755600815
YBR193C,MED8,med8-39,TSA751-37C,0.4027777777777778
YFL045C,SEC53,sec53-6,TSA48-37C,0.40064102564102566
YLR440C,SEC39,sec39-2,TSA726-37C,0.39587242026266417
YER003C,PMI40,pmi40-5001,TSA1081-37C,0.3945841392649903
YML130C,ERO1,ero1-1,TSA203-37C,0.3936
YDR164C,SEC1,sec1-1,TSA36-37C,0.3922480620155039
YOR075W,UFE1,ufe1-1,TSA212-37C,0.38579387186629527
YGR120C,COG2,cog2-1,TSA187-37C,0.38392857142857145
YDL220C,CDC13,cdc13-1,TSA881-37C,0.38304552590266877
YLR268W,SEC22,sec22-1,TSA313-37C,0.3821656050955414
YPR183W,DPM1,dpm1-6,TSA330-37C,0.38113207547169814
YLR310C,CDC25,cdc25-2-supp1,TSA29-37C,0.37527593818984545
YER136W,GDI1,gdi1-1,TSA64-37C,0.3717357910906298
YDR166C,SEC5,sec5-24,TSA51-37C,0.3671497584541063
YLR440C,SEC39,sec39-1,TSA725-37C,0.3644524236983842
YDL103C,QRI1,qri1-ts1,TSA859-37C,0.36401673640167365
YJL097W,PHS1,phs1-5001,TSA1207-37C,0.3633440514469453
YDR238C,SEC26,sec26-f856aw860a,TSA721-37C,0.3593073593073593
YLR086W,SMC4,smc4-1,TSA264-37C,0.3561643835616438
YIL109C,SEC24,sec24-20,TSA456-37C,0.3504531722054381
YPL010W,RET3,ret3-1,TSA689-37C,0.3490566037735849
YLR166C,SEC10,sec10-2,TSA63-37C,0.3487654320987654
YMR197C,VTI1,vti1-2,TSA634-37C,0.3487179487179487
YBR102C,EXO84,exo84-102,TSA24-37C,0.3474903474903475
YPR181C,SEC23,sec23-1,TSA900-37C,0.34545454545454546
