ORF,Name,Allele,Strain ID,Cluster_normal-2
YFL039C,ACT1,act1-108,tsa904-37C,0.13100436681222707
YDL195W,SEC31,sec31-1,tsa852-37C,0.13090909090909092
YPR103W,PRE2,pre2-75,tsa918,0.13076923076923078
YNR035C,ARC35,arc35-6,tsa471,0.13043478260869565
YLR115W,CFT2,cft2-1,tsa801-37C,0.13043478260869565
YNL163C,RIA1,ria1-ts,tsa1055-37C,0.13022351797862003
YGR006W,PRP18,prp18-1202,tsa430-37C,0.1297071129707113
YGL234W,"ADE5,7","ade5,7",tsa536,0.12941176470588237
YKL145W,RPT1,rpt1-1,tsa190-37C,0.1293941660433807
YGL097W,SRM1,srm1-ts,tsa955-37C,0.12906846240179573
YGL044C,RNA15,rna15-58,tsa652-37C,0.12869198312236288
YPR181C,SEC23,sec23-1,tsa900-37C,0.12850904553961323
YBL105C,PKC1,pkc1-4,tsa539,0.1282051282051282
YFL039C,ACT1,act1-122,tsa219-37C,0.12771084337349398
YDR164C,SEC1,sec1-1,tsa36-37C,0.12735849056603774
YOL123W,HRP1,hrp1-1,tsa960,0.12695924764890282
YDR335W,MSN5,,dma1070,0.12658227848101267
YKR083C,DAD2,dad2-9,tsa425,0.12643678160919541
YGL145W,TIP20,tip20-5,tsa271-37C,0.12590448625180897
YGL234W,"ADE5,7","ade5,7",tsa310-37C,0.12578616352201258
YGL023C,PIB2,,dma1597,0.125
YLR117C,CLF1,clf1-1,tsa1047-37C,0.12420634920634921
YPR189W,SKI3,,dma5153,0.12380952380952381
YPR108W,RPN7,rpn7-3,tsa1037,0.12272727272727273
YPL085W,SEC16,sec16-2,tsa119-37C,0.12248062015503876
YOL069W,NUF2,nuf2-61,tsa755-37C,0.12244897959183673
YGR006W,PRP18,prp18-1202,tsa430,0.12244897959183673
YHR191C,CTF8,ctf8-162,tsa322,0.12222222222222222
YDL105W,NSE4,nse4-ts3,tsa992-37C,0.12213740458015267
YKL052C,ASK1,ask1-2,tsa1003-37C,0.12197159565580618
YGL207W,SPT16,spt16-ts,tsa339-37C,0.12131147540983607
YJL104W,PAM16,pam16-3,tsa499,0.12087912087912088
YBR160W,CDC28,cdc28-13,tsa175-37C,0.12025316455696203
YDL028C,MPS1,mps1-6,tsa170,0.12021857923497267
YHR081W,LRP1,,dma2126,0.12
YDL097C,RPN6,rpn6-1,tsa1035,0.11958762886597939
YDR208W,MSS4,mss4-102,tsa903-37C,0.11900826446280992
YNR026C,SEC12,sec12-4,tsa60-37C,0.11895910780669144
YNL061W,NOP2,nop2-9,tsa630-37C,0.11851851851851852
YHR107C,CDC12,cdc12-td,tsa50,0.11818181818181818
YML130C,ERO1,ero1-1,tsa203-37C,0.11814744801512288
YOR326W,MYO2,myo2-16,tsa337-37C,0.11814345991561181
YKL154W,SRP102,srp102-510,tsa731-37C,0.11784511784511785
YPR055W,SEC8,sec8-6,tsa364-37C,0.11753371868978806
YER125W,RSP5,rsp5-1,tsa182-37C,0.116751269035533
YOR257W,CDC31,cdc31-5,tsa152,0.11643835616438356
YKR028W,SAP190,,dma2949,0.11627906976744186
YLR459W,GAB1,gab1-2,tsa201-37C,0.11616161616161616
YDR170C,SEC7,sec7-1,tsa44-37C,0.11578947368421053
YDR311W,TFB1,tfb1-6,tsa715-37C,0.11570247933884298
YNL287W,SEC21,sec21-1,tsa46-37C,0.11538461538461539
YDR292C,SRP101,srp101-47,tsa733-37C,0.11533420707732635
YFL039C,ACT1,act1-4,tsa138-37C,0.1148036253776435
YMR235C,RNA1,rna1-1,tsa118-37C,0.11428571428571428
YNL061W,NOP2,nop2-10,tsa941-37C,0.11428571428571428
