ORF,Name,Allele,Strain ID,Cluster_normal-5
YJL115W,ASF1,,dma2518,0.6470588235294118
YOL094C,RFC4,rfc4-20,tsa171,0.3597122302158273
YCL060C,,,dma523,0.358974358974359
YDL162C,,,dma741,0.32075471698113206
YDR369C,XRS2,,dma1097,0.3148148148148148
YML102W,CAC2,,dma3590,0.30612244897959184
YOR255W,OSW1,,dma4666,0.30357142857142855
YPR164W,MMS1,,dma5141,0.29357798165137616
YPR086W,SUA7,sua7-c149r,tsa832,0.2878787878787879
YMR039C,SUB1,,dma3653,0.2786885245901639
YBR193C,MED8,med8-51,tsa741-37C,0.2721518987341772
YLR005W,SSL1,ssl1-t242i,tsa752-37C,0.27099236641221375
YDR088C,SLU7,slu7-ts1,tsa656-37C,0.24891774891774893
YGL022W,STT3,stt3-1,tsa790,0.24210526315789474
YOL135C,MED7,med7-141,tsa740-37C,0.24034334763948498
YDL008W,APC11,apc11-13,tsa783,0.23333333333333334
YJR043C,POL32,,dma2634,0.22448979591836735
YCL061C,MRC1,,dma522,0.21875
YJL047C,RTT101,,dma2463,0.2111111111111111
YKR082W,NUP133,,dma3009,0.20909090909090908
YOR174W,MED4,med4-6,tsa738-37C,0.2
YGL048C,RPT6,rpt6-25,tsa186,0.1917808219178082
YPR120C,CLB5,,dma5102,0.19148936170212766
YEL019C,MMS21,mms21-1,tsa533,0.1875
YFL029C,CAK1,cak1-23,tsa650-37C,0.1773049645390071
YDR311W,TFB1,tfb1-6,tsa715-37C,0.17355371900826447
YFR004W,RPN11,rpn11-14,tsa534,0.16666666666666666
YHR191C,CTF8,,dma2228,0.16666666666666666
YHR164C,DNA2,dna2-2,tsa352,0.1640625
YHR191C,CTF8,ctf8-9,tsa323,0.16071428571428573
YBL016W,FUS3,,dma120,0.15942028985507245
YHR167W,THP2,,dma2216,0.15730337078651685
YDR497C,ITR1,,dma1223,0.15
YJL091C,GWT1,gwt1-20,tsa655-37C,0.14838709677419354
YPR055W,SEC8,sec8-9,tsa122,0.14619883040935672
YHR111W,UBA4,,dma2155,0.14285714285714285
YBR193C,MED8,med8-39,tsa751-37C,0.14285714285714285
YOR259C,RPT4,rpt4-145,tsa263-37C,0.14213197969543148
YCL016C,DCC1,,dma473,0.14150943396226415
YMR240C,CUS1,cus1-3,tsa639-37C,0.13797814207650272
YMR197C,VTI1,vti1-2,tsa634-37C,0.1357615894039735
YOR057W,SGT1,sgt1-3,tsa830,0.13333333333333333
YER069W,"ARG5,6","arg5,6",tsa502,0.13157894736842105
YLR298C,YHC1,yhc1-1,tsa632-37C,0.13128491620111732
YOL094C,RFC4,rfc4-20,tsa171-37C,0.13062098501070663
YOL085C,,,dma4358,0.13023255813953488
YGL234W,"ADE5,7","ade5,7",tsa536,0.12941176470588237
YAR002W,NUP60,,dma68,0.12903225806451613
YDR510W,SMT3,smt3-331,tsa928-37C,0.12894736842105264
YMR168C,CEP3,cep3-2,tsa845,0.12727272727272726
YFL039C,ACT1,act1-124,tsa72-37C,0.12658227848101267
YNL016W,PUB1,,dma3927,0.125
YDR292C,SRP101,srp101-47,tsa733-37C,0.12319790301441677
YOR249C,APC5,apc5-ca,tsa746-37C,0.12090680100755667
YAR014C,BUD14,,dma66,0.12048192771084337
YHR058C,MED6,med6-ts,tsa1017-37C,0.11790780141843972
YHR069C,RRP4,rrp4-1,tsa724-37C,0.11695906432748537
YER069W,"ARG5,6","arg5,6",tsa183,0.11643835616438356
YER125W,RSP5,rsp5-1,tsa182,0.11627906976744186
YLR383W,SMC6,smc6-9,tsa747-37C,0.11602209944751381
YDL126C,CDC48,cdc48-3,tsa208-37C,0.11510791366906475
YBR135W,CKS1,cks1-35,tsa923,0.11363636363636363
YOR236W,DFR1,dfr1-td,tsa884-37C,0.11320754716981132
YHR031C,RRM3,,dma2111,0.11282051282051282
YBR135W,CKS1,cks1-35,tsa923-37C,0.11224489795918367
YDL156W,CMR1,,dma723,0.11206896551724138
YDR051C,DET1,,dma843,0.1092896174863388
YBL023C,MCM2,mcm2-1,tsa111-37C,0.10805084745762712
YOR259C,RPT4,rpt4-145,tsa263,0.1078838174273859
YHR200W,RPN10,,dma2222,0.10752688172043011
YBR135W,CKS1,cks1-38,tsa332,0.10526315789473684
YOR249C,APC5,apc5-ca-paps,tsa745-37C,0.10344827586206896
YFL039C,ACT1,act1-125,tsa140,0.10317460317460317
YGR135W,PRE9,,dma1892,0.10232558139534884
YDR238C,SEC26,sec26-11d26,tsa722-37C,0.1022964509394572
YDL146W,LDB17,,dma727,0.10185185185185185
YDL008W,APC11,apc11-13,tsa783-37C,0.10185185185185185
YLR402W,,ylr402w-supp1,dma3443,0.10126582278481013
YDL126C,CDC48,cdc48-4601,tsa851-37C,0.10050251256281408
YLR459W,GAB1,gab1-2,tsa201,0.1
