ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YLR066W,SPC3,spc3-4,tsa623-37C,1096,52.177799896778,52.18978102189781,92.54294636694512
YDR245W,MNN10,mnn10-supp1,dma1003,117,52.05905205905206,52.136752136752136,92.12427821354288
YDR182W,CDC1,cdc1-4,tsa807-37C,112,52.0472582972583,51.785714285714285,94.02580215630977
YFL034C-B,MOB2,mob2-40,tsa612-37C,164,51.940133037694025,51.829268292682926,88.45886588302666
YER090W,TRP2,trp2,tsa211-26C,3,51.515151515151516,66.66666666666667,79.79742839750313
YKL048C,ELM1,,dma2781,61,51.28332505381687,50.81967213114754,88.39374360562088
YML069W,POB3,pob3-q308k,tsa847-37C,133,50.732892838156,50.37593984962406,91.13691042224144
YJR139C,HOM6,,dma2730,46,50.59288537549407,50.0,80.09947005946555
YFR004W,RPN11,rpn11-14,tsa534-37C,242,50.55096418732783,50.413223140495866,90.81444166522145
YBR160W,CDC28,cdc28-13,tsa175-37C,852,50.54773082942097,50.586854460093896,92.80104940563555
YGL234W,"ADE5,7","ade5,7",tsa536-37C,15,50.5050505050505,53.333333333333336,86.52998941981231
YDR311W,TFB1,tfb1-6,tsa715-37C,216,50.33670033670033,50.46296296296296,92.42230429271619
YER145C,FTR1,,dma1450,98,50.30921459492889,50.0,90.2880511387378
YEL002C,WBP1,wbp1-1,tsa590-26C,43,50.176180408738546,51.16279069767442,90.54103285445083
YEL002C,WBP1,wbp1-1,tsa590-37C,125,49.987878787878785,49.6,90.62693140802628
YPL076W,GPI2,gpi2-1-7b,tsa462-37C,206,49.622437971952536,49.51456310679612,93.27442259993272
YGL234W,"ADE5,7","ade5,7",tsa1054-37C,11,49.494949494949495,45.45454545454545,88.61489164328123
YNL272C,SEC2,sec2-41,tsa56-37C,194,49.406435488909715,49.48453608247423,90.94957475560231
YDR228C,PCF11,pcf11-2,tsa685-37C,901,49.22028273859573,49.16759156492786,90.9946191190626
YFL039C,ACT1,act1-124,tsa72-37C,131,49.21736448454006,48.85496183206107,92.68541226068
YFR010W,UBP6,,dma1515,119,49.2063492063492,49.57983193277311,90.2975372256164
YPL085W,SEC16,sec16-2,tsa119-37C,687,48.94799523620484,48.90829694323144,92.92425214135316
YKR099W,BAS1,,dma3018,5,48.88888888888888,40.0,90.74070625371732
YBR160W,CDC28,cdc28-4,tsa150-26C,63,48.77344877344878,49.20634920634921,87.11859238110092
YGL116W,CDC20,cdc20-3,tsa368-37C,915,48.769663851631066,48.743169398907106,88.81561258588401
YLR208W,SEC13,sec13-1,tsa52-37C,327,48.30877583171161,48.318042813455655,92.98093587521664
YBL050W,SEC17,sec17-1,tsa45-37C,712,47.97554193621609,48.03370786516854,91.18684332127107
YKR082W,NUP133,,dma3009,147,47.80457637600495,47.61904761904762,92.48195606603248
YJL081C,ARP4,arp4-g161d,tsa618-26C,4,47.72727272727273,50.0,78.44528273776615
YOL004W,SIN3,,dma4294,49,47.30983302411874,46.93877551020408,86.31407909883339
YLL050C,COF1,cof1-8,tsa248-37C,397,47.29155535200876,47.3551637279597,91.05130285292609
YDL043C,PRP11,prp11-ts,tsa369-37C,902,46.95737866469574,47.006651884700666,91.51152355866766
YBR080C,SEC18,sec18-1,tsa54-37C,1129,46.95403995669717,46.944198405668736,91.4991858260403
YNR026C,SEC12,sec12-1,tsa305-37C,843,46.93554764729142,46.97508896797153,91.95166635046377
YNL006W,LST8,lst8-15,tsa467-37C,343,46.644285419795615,46.647230320699705,89.34392360848418
YFL039C,ACT1,act1-111,tsa214-37C,415,46.340513569429234,46.265060240963855,93.5726232696621
YER003C,PMI40,pmi40-5001,tsa1081-37C,669,46.24269601848077,46.18834080717489,92.03529522681059
YFL034C-B,MOB2,mob2-20,tsa940-37C,286,46.23154623154623,46.15384615384615,91.05269957737445
YBR070C,ALG14,alg14-5001,tsa1061-37C,229,45.926514048784796,45.851528384279476,91.637345152726
YDL140C,RPO21,rpo21-1,tsa804-26C,21,45.887445887445885,47.61904761904762,87.2218335965771
YGL022W,STT3,stt3-2,tsa551-37C,145,45.781957506095445,45.51724137931034,89.23625943225478
YAL041W,CDC24,cdc24-1,tsa408-37C,1072,45.49883159957786,45.52238805970149,93.03878354612043
YDR228C,PCF11,pcf11-ts2,tsa686-37C,713,45.46446229475683,45.44179523141655,92.28257365102607
YIL004C,BET1,bet1-1,tsa792-37C,1014,44.96144880760266,44.97041420118343,92.33716229821697
YMR227C,TAF7,taf7-ts1,tsa638-37C,237,44.955887993862675,45.14767932489451,90.636941266573
YOL001W,PHO80,,dma4274,32,44.791666666666664,43.75,85.70801708194
YCR093W,CDC39,cdc39-1,tsa93-37C,1478,44.412323505692925,44.38430311231394,93.1394641001079
YDR238C,SEC26,sec26-11d26,tsa722-37C,674,44.36651380271559,44.362017804154306,92.18328982148698
YDL102W,POL3,cdc2-7,tsa17-37C,124,44.08602150537634,44.354838709677416,91.42888402880511
YJR090C,GRR1,,dma2675,4,43.939393939393945,50.0,90.04182025785862
YMR298W,LIP1,lip1-5001,tsa1059-37C,153,43.790849673202615,43.790849673202615,90.64735850308385
YLR071C,RGR1,rgr1-100,tsa908-37C,31,43.695014662756606,45.16129032258065,88.0137763588092
YDL195W,SEC31,sec31-1,tsa852-37C,1391,43.69068107385865,43.70956146657081,91.25836725239859
YDL102W,POL3,cdc2-1,tsa406-37C,153,43.672014260249554,43.790849673202615,88.85070528764957
YDL140C,RPO21,rpo21-1,tsa804-37C,74,43.666393666393674,43.24324324324324,91.12853007555115
YJR076C,CDC11,cdc11-5,tsa84-37C,159,43.62492853058891,43.39622641509434,84.58382849154924
YDL008W,APC11,apc11-22,tsa719-37C,33,43.43434343434344,42.42424242424242,92.90190455017907
YGR009C,SEC9,sec9-4,tsa57-37C,806,43.429330526104714,43.424317617866,92.33337950283594
YIL118W,RHO3,rho3-1,tsa654-37C,322,43.15201706506055,43.16770186335404,91.85057841851219
YOR174W,MED4,med4-6,tsa738-37C,27,43.09764309764309,44.44444444444444,89.66348252290337
