ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YPR055W,SEC8,sec8-9,tsa122-37C,139,52.90313203982269,53.23741007194245,90.62477479414292
YGL065C,ALG2,alg2-1,tsa461-37C,271,52.58861679525886,52.398523985239855,91.55975381328398
YMR197C,VTI1,vti1-2,tsa634-37C,217,52.53921705534608,52.534562211981566,94.52057117352918
YMR298W,LIP1,lip1-5001,tsa1059-26C,22,52.52525252525253,54.54545454545455,87.35183347090447
YBR160W,CDC28,cdc28-1,tsa174-37C,86,52.44303500117453,52.325581395348834,92.74096799609028
YBL093C,ROX3,rox3-182,tsa1015-26C,15,52.323232323232325,53.333333333333336,80.85754756801899
YBL050W,SEC17,sec17-1,tsa45-37C,423,52.20287986245433,52.24586288416076,92.33261489510782
YMR112C,MED11,med11-ts,tsa799-37C,165,51.515151515151516,51.515151515151516,89.51144787608546
YNL163C,RIA1,ria1-ts,tsa1019-37C,278,51.4497492914759,51.43884892086331,89.34624140129974
YOR202W,HIS3,his3,tsa985-37C,119,50.72574484339191,50.42016806722689,92.15238964988703
YDL008W,APC11,apc11-22,tsa719-37C,189,50.45695045695046,50.264550264550266,92.64134752284156
YLR166C,SEC10,sec10-2,tsa63-37C,368,50.296442687747046,50.27173913043478,93.36127955079343
YFR004W,RPN11,rpn11-14,tsa534-37C,284,49.83994878361075,50.0,92.94045118082055
YIL126W,STH1,sth1-3,tsa931-26C,42,49.56709956709957,50.0,86.77355024959621
YFL039C,ACT1,act1-119,tsa215-37C,99,49.494949494949495,49.494949494949495,91.11458050091233
YGL061C,DUO1,duo1-2,tsa239-37C,144,49.368686868686865,49.30555555555556,89.23414565906059
YLR071C,RGR1,rgr1-100,tsa908-37C,54,49.158249158249156,50.0,89.01158928265386
YFL039C,ACT1,act1-159,tsa910-37C,170,49.031491384432556,48.8235294117647,89.57903234304325
YJL081C,ARP4,arp4-g161d,tsa618-26C,2,48.989898989899,50.0,99.79760995647584
YMR227C,TAF7,taf7-ts1,tsa638-37C,206,48.847700304010985,49.029126213592235,93.13902597217773
YGR116W,SPT6,spt6-14,tsa834-37C,247,48.627980206927575,48.582995951417004,92.43126641542524
YMR197C,VTI1,vti1-11-supp1,tsa635-37C,262,48.41159688487933,48.47328244274809,91.13450459556208
YBR135W,CKS1,cks1-38,tsa332-37C,209,48.27219564061669,48.32535885167464,88.79848019732727
YNL138W,SRV2,srv2-ts,tsa675-37C,72,47.22222222222222,47.22222222222222,92.85421436993533
YIL068C,SEC6,sec6-4,tsa38-37C,620,46.88660801564028,46.935483870967744,91.57398530946237
YMR117C,SPC24,spc24-9,tsa293-37C,459,46.44484056248761,46.40522875816993,88.33925706745184
YGR009C,SEC9,sec9-4,tsa57-37C,349,46.2736244971202,46.41833810888252,91.47521267002853
YLR182W,SWI6,,dma3243,37,46.000546000545995,45.945945945945944,89.41885231158862
YFR004W,RPN11,rpn11-8,tsa521-37C,268,45.9709030604553,45.8955223880597,90.30822998340062
YNR026C,SEC12,sec12-4,tsa60-37C,408,45.915032679738566,45.833333333333336,90.5641546763788
YGL130W,CEG1,ceg1-3,tsa94-37C,176,45.77020202020202,46.02272727272727,91.80405107108663
YGL137W,SEC27,sec27-1,tsa546-37C,483,45.636489114749985,45.54865424430642,92.37973023139202
YPR069C,SPE3,,dma5069,22,45.45454545454546,45.45454545454545,83.26400273244727
YDL140C,RPO21,rpo21-1,tsa804-26C,6,45.454545454545446,50.0,85.60862658794731
YPL124W,SPC29,spc29-3,tsa707-37C,301,45.20621497365683,45.182724252491695,91.31291305403668
YLR212C,TUB4,tub4-y445d,tsa717-37C,361,45.17194101681636,45.15235457063712,91.5354088708852
YJR076C,CDC11,cdc11-5,tsa84-37C,118,45.154939222735834,44.91525423728814,87.21036634293546
YNR026C,SEC12,sec12-1,tsa305-37C,317,45.09129146353121,45.110410094637224,90.69744626399002
YDR173C,ARG82,,dma953,48,44.76010101010101,45.833333333333336,87.13315290622292
YLR079W,SIC1,,dma3163,52,44.59984459984461,44.23076923076923,95.24462125143904
YMR061W,RNA14,rna14-5001,tsa1106-37C,779,44.43536779865406,44.41591784338896,91.13256668969949
YLR208W,SEC13,sec13-1,tsa52-37C,139,44.39357604825231,44.60431654676259,91.3130947327113
YDR245W,MNN10,mnn10-supp1,dma1003,28,44.15584415584416,42.857142857142854,82.4058132331113
YNL262W,POL2,pol2-12,tsa20-37C,297,44.107744107744104,44.10774410774411,88.14879725689426
YBR193C,MED8,med8-39,tsa751-37C,195,43.91608391608391,44.1025641025641,91.4359700763111
YER136W,GDI1,gdi1-1,tsa64-37C,512,43.8604797979798,43.9453125,92.26103349730843
YER125W,RSP5,rsp5-1,tsa182-37C,10,43.838383838383834,40.0,92.08958938802749
YER003C,PMI40,pmi40-5001,tsa1081-37C,792,43.686868686868685,43.686868686868685,90.74177586059675
YDR166C,SEC5,sec5-24,tsa51-37C,444,43.57084357084358,43.693693693693696,90.75340329577227
YDR311W,TFB1,tfb1-6,tsa715-37C,271,43.49770770434978,43.542435424354245,89.79002184383265
YGL173C,XRN1,,dma1708,28,43.290043290043286,42.857142857142854,89.32201757801737
YEL002C,WBP1,wbp1-1,tsa590-37C,123,43.28652377432866,43.08943089430894,88.65755810538211
YGL055W,OLE1,ole1-m2,tsa506-37C,151,43.24035052511873,43.04635761589404,88.1053760536606
YML069W,POB3,pob3-l78r,tsa846-37C,317,43.07108944332919,43.217665615141954,90.74177586059675
YGR054W,,,dma1846,304,43.00571504518873,43.0921052631579,85.5347439269361
YER093C,TSC11,tsc11-7,tsa659-37C,575,42.95476504172156,42.95652173913044,90.20909398661755
YJL085W,EXO70,exo70-38,tsa848-37C,571,42.76742910718392,42.73204903677758,89.7271610224149
YOR057W,SGT1,sgt1-3,tsa830-26C,48,42.48737373737374,41.666666666666664,89.55311285213112
YER157W,COG3,cog3-1,tsa41-37C,78,42.26884226884226,42.30769230769231,93.15337858747253
