ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YLR264W,RPS28B,,dma3301,1003,0,0,99.29550074284403
YLR263W,RED1,,dma3302,827,0,0,99.99141022169874
YKL007W,CAP1,,dma2738,759,0,0,99.80752024782541
YLR325C,RPL38,,dma3367,846,0,0,99.99395279607592
YLR206W,ENT2,,dma3273,951,0,0,99.97828504045442
YLR205C,HMX1,,dma3274,1293,0,0,99.66630429255274
YLR315W,NKP2,,dma3372,1085,0,0,99.97374963751136
YLL057C,JLP1,,dma3085,909,0,0,99.92358533223201
YLR098C,CHA4,,dma3182,1298,0,0,99.83198393642739
YLL056C,,,dma3086,1289,0,0,99.79899918775057
YLR097C,HRT3,,dma3183,1591,0,0,99.60885585527392
YLL055W,YCT1,,dma3087,843,0,0,99.4912789698863
YLR179C,,,dma3246,1473,0,0,99.7726113888091
YLR059C,REX2,,dma3150,1149,0,0,99.72849428745384
YLR178C,TFS1,,dma3247,1312,0,0,99.94158950755144
YLR177W,,,dma3248,1702,0,0,99.86400662993448
YLR174W,IDP2,,dma3250,1138,0,0,99.96529729566292
YLR054C,OSW2,,dma3155,1316,0,0,99.92063044849638
YLR172C,DPH5,,dma3252,1481,0,0,99.88524056189519
YLR209C,PNP1,,dma3271,1151,0,0,99.80071714341082
YLR210W,CLB4,,dma3270,711,0,0,99.93657307702351
YLR262C-A,TMA7,,dma3303,870,0,0,99.69633415749392
YLR326W,,,dma3366,891,0,0,99.70313726190852
YLR368W,MDM30,,dma3401,1077,0,0,99.5425427667882
YLR261C,VPS63,,dma3305,1200,0,0,99.73282353571767
YLR367W,RPS22B,,dma3402,1003,0,0,99.74807898198071
YLR258W,GSY2,,dma3306,1034,0,0,99.71907989043567
YLR366W,,,dma3403,681,0,0,99.21166450662375
YLR257W,,,dma3307,1395,0,0,99.55676743965509
YLR365W,,,dma3404,1401,0,0,99.87493282793369
YLR255C,,,dma3308,828,0,0,99.6538662935725
YLR363C,NMD4,,dma3406,1110,0,0,99.93526743072172
YLR253W,MCP2,,dma3310,911,0,0,99.63778622859256
YLR216C,CPR6,,dma3266,991,0,0,99.86819844174549
YLR329W,REC102,,dma3363,880,0,0,99.7971437956375
YLR328W,NMA1,,dma3364,820,0,0,99.96083061094626
YLR213C,CRR1,,dma3268,547,0,0,99.6975023673429
YLR211C,ATG38,,dma3269,1139,0,0,99.46097423203946
YLR094C,GIS3,,dma3186,951,0,0,99.96296087596498
YLL053C,,,dma3089,964,0,0,99.99058560298182
YLR095C,IOC2,,dma3185,947,0,0,98.29365772001171
YLR348C,DIC1,,dma3395,1185,0,0,99.97670452124699
YLR130C,ZRT2,,dma3206,1263,0,0,99.66293709945863
YLR021W,IRC25,,dma3110,695,0,0,98.93287466207812
YLR128W,DCN1,,dma3207,1787,0,0,99.70616086387056
YLR020C,YEH2,,dma3111,1071,0,0,99.78752324394009
YLR126C,,,dma3208,811,0,0,99.91850018347766
YLR019W,PSR2,,dma3112,1175,0,0,99.95210339619219
YLR125W,,,dma3209,909,0,0,99.03691405686295
YLR018C,POM34,,dma3113,1104,0,0,99.52501961905364
YLR124W,,,dma3210,1523,0,0,99.83301470982354
YLR017W,MEU1,,dma3114,1615,0,0,99.8961667598944
YLR123C,,,dma3211,1168,0,0,99.99092919411387
YLR122C,,,dma3212,1344,0,0,99.75495080462171
YLR121C,YPS3,,dma3213,1771,0,0,99.88682108110262
YLR014C,PPR1,,dma3117,1036,0,0,98.90078325034462
YLR188W,MDL1,,dma3261,1712,0,0,99.95066031343758
YLR346C,CIS1,,dma3396,1123,0,0,99.75543183220658
YLR236C,,,dma3298,1397,0,0,99.96502242275727
YLL054C,,,dma3088,1186,0,0,99.92186737657175
YLR349W,,,dma3394,1085,0,0,99.36779231702741
YKL116C,PRR1,,dma2836,1175,0,0,99.7972125138639
YKL005C,BYE1,,dma2740,1283,0,0,99.89348674906441
YKL001C,MET14,,dma2741,864,0,0,99.81549156208898
YKL114C,APN1,,dma2838,753,0,0,99.8293039255974
YJR154W,,,dma2742,835,0,0,99.94055873415529
YJR153W,PGU1,,dma2743,1264,0,0,99.95244698732424
YKL110C,KTI12,,dma2840,543,0,0,98.9436634236245
YJR152W,DAL5,,dma2744,1297,0,0,99.94413208192861
YJR150C,DAN1,,dma2745,1723,0,0,99.9215237854397
YKL107W,,,dma2842,1822,0,0,99.78278168631779
YJR149W,,,dma2746,2041,0,0,99.65070525515765
YKL106W,AAT1,,dma2843,1039,0,0,99.90324473721464
YJR148W,BAT2,,dma2747,753,0,0,99.69647159394675
YKL105C,SEG2,,dma2844,1683,0,0,99.98453839905774
YLR237W,THI7,,dma3297,1422,0,0,99.86414406638731
YLR185W,RPL37A,,dma3263,408,0,0,99.41994945087265
YLR228C,ECM22,,dma3281,820,0,0,99.83645062114405
YLR341W,SPO77,,dma3378,759,0,0,99.8784374574806
YLR225C,,,dma3282,850,0,0,99.82476852265434
YLR287C-A,RPS30A,,dma3329,848,0,0,99.90365704657309
YLR393W,ATP10,,dma3426,567,0,0,99.18204695104102
YLR287C,,,dma3330,1016,0,0,99.82847930688048
YLR392C,ART10,,dma3427,639,0,0,99.85940250876502
YLR284C,ECI1,,dma3333,999,0,0,99.41912483215573
YLR283W,,,dma3334,835,0,0,99.62974619610257
YLR282C,,,dma3335,894,0,0,99.90832988596898
YLR388W,RPS29A,,dma3432,765,0,0,99.88682108110262
YLR065C,ENV10,,dma3145,984,0,0,99.98900508377439
YLR183C,TOS4,,dma3242,1170,0,0,99.96646550551189
YLR064W,PER33,,dma3146,1258,0,0,99.93348075683505
YLR062C,BUD28,bud28-supp1,dma3148,1157,0,0,99.84875118367145
YLR180W,SAM1,,dma3245,1473,0,0,99.92935766325046
YLR061W,RPL22A,,dma3149,221,0,0,99.70141930624827
YLR096W,KIN2,,dma3184,1061,0,0,99.99608306109462
YLR289W,GUF1,,dma3328,1021,0,0,99.97106962668137
YLR395C,COX8,,dma3424,1090,0,0,99.42957000257006
YLL063C,AYT1,,dma3102,1019,0,0,99.89032571064953
YLR218C,COA4,,dma3287,893,0,0,99.64129085813947
YLR224W,UCC1,,dma3283,1015,0,0,99.71158960375696
YLR221C,RSA3,,dma3284,1226,0,0,99.83260240046509
YLR335W,NUP2,,dma3381,1151,0,0,99.76388417405502
YLR334C,,,dma3382,1075,0,0,99.94117719819299
YLR219W,MSC3,,dma3286,964,0,0,99.65407244825174
YLR333C,RPS25B,,dma3383,947,0,0,99.68760694273985
YLR011W,LOT6,,dma3097,1432,0,0,99.73406046379306
YLR001C,,,dma3101,1061,0,0,99.48736203098092
YLR114C,AVL9,,dma3194,1451,0,0,99.81617874435308
YLR006C,SSK1,,dma3098,1032,0,0,99.862082519595
YLR113W,HOG1,,dma3195,926,0,0,99.70080084221058
YLR004C,THI73,,dma3099,1245,0,0,99.99367792317027
YLR003C,CMS1,,dma3100,880,0,0,99.4304633395134
YLR111W,,,dma3197,1478,0,0,99.9794532503034
YLR413W,INA1,,dma3435,774,0,0,99.98282044339749
YLR311C,,,dma3339,929,0,0,99.77481037205422
YLR309C,IMH1,,dma3340,1034,0,0,99.66506736447735
YML074C,FPR3,,dma3581,629,0,0,99.59628041984088
YMR222C,FSH2,,dma3808,609,0,0,99.80635203797644
YMR127C,SAS2,,dma3712,665,0,0,99.95203467796577
YMR126C,DLT1,,dma3713,564,0,0,99.06646289421928
YMR124W,EPO1,,dma3714,743,0,0,99.84655220042633
YMR215W,GAS3,,dma3812,862,0,0,99.95416494298449
YMR122C,,,dma3716,572,0,0,99.8818733688011
YMR214W,SCJ1,,dma3813,1049,0,0,99.93141921004276
