ORF,Name,Allele,Strain ID,Cluster_normal-5
YOL108C,INO4,,dma4387,0.18309859154929578
YNL064C,YDJ1,,dma3979,0.18309859154929578
YJL194W,CDC6,cdc6-1,tsa32-37C,0.18292682926829268
YNL235C,,,dma4114,0.18292682926829268
YOR082C,,,dma4491,0.1826086956521739
YDL132W,CDC53,cdc53-1,tsa974-37C,0.1826086956521739
YBL105C,PKC1,pkc1-4,tsa539-37C,0.18218623481781376
YKR048C,NAP1,,dma2953,0.18181818181818182
YFR037C,RSC8,rsc8-ts21,tsa999-37C,0.18181818181818182
YKR082W,NUP133,,dma3009,0.18181818181818182
YNL061W,NOP2,nop2-6,tsa628-37C,0.18128654970760233
YKR086W,PRP16,prp16-ts,tsa644-37C,0.18125
YDR054C,CDC34,cdc34-2,tsa308-37C,0.18120805369127516
YBL105C,PKC1,pkc1-3,tsa541-37C,0.18095238095238095
YFL034C-B,MOB2,mob2-40,tsa612-37C,0.17985611510791366
YLL031C,GPI13,gpi13-3-supp1,tsa196-37C,0.1797752808988764
YEL002C,WBP1,wbp1-1,tsa590-37C,0.1791044776119403
YLR459W,GAB1,gab1-3,tsa202-37C,0.1791044776119403
YGR113W,DAM1,dam1-1,tsa245-37C,0.1791044776119403
YDL164C,CDC9,cdc9-1-supp2,tsa33-37C,0.17898832684824903
YJR068W,RFC2,rfc2-1,tsa342-37C,0.17857142857142858
YJL039C,NUP192,nup192-15,tsa496-37C,0.17842323651452283
YPL076W,GPI2,gpi2-1-7b,tsa462-37C,0.1782178217821782
YFL017C,GNA1,gna1-ts,tsa1048-37C,0.1780821917808219
YKL176C,LST4,,dma2888,0.1780821917808219
YGL061C,DUO1,duo1-2,tsa239-37C,0.17786561264822134
YBR160W,CDC28,cdc28-td,tsa62-37C,0.17757009345794392
YNR004W,SWM2,,dma4190,0.1773049645390071
YJR065C,ARP3,arp3-d11a,tsa341-37C,0.17708333333333334
YKL089W,MIF2,mif2-3,tsa113-37C,0.176
YGL127C,SOH1,,dma1671,0.17567567567567569
YJR065C,ARP3,arp3-h161a,tsa297-37C,0.175
YDR180W,SCC2,scc2-4,tsa66-37C,0.17482517482517482
YMR033W,ARP9,arp9-1,tsa495-37C,0.1744186046511628
YLR110C,CCW12,,dma3198,0.17391304347826086
YFR009W,GCN20,,dma1516,0.17333333333333334
YPL228W,CET1,cet1-1,tsa270-37C,0.1732283464566929
YKL216W,URA1,,dma2907,0.171875
YFL039C,ACT1,act1-132,tsa216-37C,0.171875
YDL143W,CCT4,cct4-1,tsa729-37C,0.171875
YGR135W,PRE9,,dma1892,0.1717171717171717
YLR274W,MCM5,cdc46-1,tsa403-37C,0.17142857142857143
