ORF,Name,Allele,Strain ID,Cluster_normal-0
YBR135W,CKS1,cks1-35,tsa923-37C,0.5
YPR135W,CTF4,,dma5136,0.47619047619047616
YBR135W,CKS1,cks1-38,tsa332-37C,0.42326732673267325
YKL045W,PRI2,pri2-1,tsa19-37C,0.42297650130548303
YLR320W,MMS22,,dma3369,0.40625
YNL102W,POL1,pol1-13,tsa346-37C,0.40049751243781095
YFR052W,RPN12,rpn12-1,tsa405-37C,0.38596491228070173
YJR076C,CDC11,cdc11-5,tsa84-37C,0.38144329896907214
YJR076C,CDC11,cdc11-3,tsa83-37C,0.3790322580645161
YLR079W,SIC1,,dma3163,0.37037037037037035
YLR314C,CDC3,cdc3-3,tsa130-37C,0.36312849162011174
YJR076C,CDC11,cdc11-1,tsa356-37C,0.35684647302904565
YCR002C,CDC10,cdc10-4,tsa81-37C,0.350253807106599
YNL171C,,ynl171c-supp1,dma4064,0.34806629834254144
YCR002C,CDC10,cdc10-1,tsa78-37C,0.32386363636363635
YDR168W,CDC37,cdc37-ts,tsa315-37C,0.32207207207207206
YMR296C,LCB1,lcb1-2,tsa603-37C,0.3193916349809886
YDL126C,CDC48,cdc48-1,tsa826-37C,0.31343283582089554
YJR076C,CDC11,cdc11-4,tsa126-37C,0.312
YDR455C,,,dma1179,0.3111111111111111
YDR168W,CDC37,cdc37-1,tsa317-37C,0.30867709815078237
YDR054C,CDC34,cdc34-2,tsa308-37C,0.30666666666666664
YDL164C,CDC9,cdc9-1-supp2,tsa33-37C,0.30241187384044527
YIR008C,PRI1,pri1-m4,tsa340-37C,0.30238726790450926
YBR060C,ORC2,orc2-1,tsa295-37C,0.2830188679245283
YDR062W,LCB2,lcb2-2,tsa575-37C,0.2823164426059979
YFL009W,CDC4,cdc4-3,tsa334-37C,0.2821917808219178
YDL132W,CDC53,cdc53-1,tsa974-37C,0.2736842105263158
YDR062W,LCB2,lcb2-19,tsa587-37C,0.2728442728442728
YLR078C,BOS1,bos1-1,tsa199-37C,0.27225130890052357
YNL102W,POL1,pol1-1,tsa362-37C,0.26608695652173914
YJR068W,RFC2,rfc2-1,tsa342-37C,0.26582278481012656
YDR062W,LCB2,lcb2-16,tsa585-37C,0.26304347826086955
YML008C,ERG6,,dma3527,0.2564102564102564
YER133W,GLC7,glc7-12,tsa185-37C,0.256198347107438
YIL062C,ARC15,arc15-10,tsa888-37C,0.2542372881355932
YCR077C,PAT1,,dma599,0.24864864864864866
YDL084W,SUB2,sub2-1,tsa976-37C,0.2465753424657534
YFR040W,SAP155,,dma1580,0.24651162790697675
YMR154C,RIM13,,dma3750,0.24489795918367346
YLR459W,GAB1,gab1-2,tsa201-37C,0.24390243902439024
YBR058C-A,TSC3,tsc3-2,tsa571-37C,0.24368231046931407
YNL198C,,,dma4072,0.24311926605504589
YIL046W,MET30,met30-6,tsa948-37C,0.24285714285714285
YEL061C,CIN8,,dma1302,0.24175824175824176
YDR054C,CDC34,cdc34-1,tsa92-37C,0.23689727463312368
YFL039C,ACT1,act1-132,tsa216-37C,0.23642732049036777
YCR002C,CDC10,cdc10-2,tsa79-37C,0.23628691983122363
YOL069W,NUF2,nuf2-61,tsa755-37C,0.23544973544973544
YIL084C,SDS3,,dma2337,0.23404255319148937
YER093C,TSC11,tsc11-5,tsa811-37C,0.2334152334152334
YNL102W,POL1,pol1-2,tsa344-37C,0.23076923076923078
YDR311W,TFB1,tfb1-6,tsa715-37C,0.22950819672131148
YML069W,POB3,pob3-7,tsa629-37C,0.225
YBR055C,PRP6,prp6-1,tsa455-37C,0.22210636079249219
YDL008W,APC11,apc11-13,tsa783-37C,0.22093023255813954
YDR062W,LCB2,lcb2-1,tsa586-37C,0.22040208488458674
YJL194W,CDC6,cdc6-1,tsa32-37C,0.22
YFL009W,CDC4,cdc4-2,tsa415-37C,0.21904761904761905
YDR311W,TFB1,tfb1-1,tsa701-37C,0.2153846153846154
YDR473C,PRP3,prp3-1,tsa58-37C,0.21212121212121213
YNL102W,POL1,pol1-ts,tsa343-37C,0.2112676056338028
YDL132W,CDC53,cdc53-1,tsa975-37C,0.21103896103896103
YBR055C,PRP6,prp6-ts,tsa367-37C,0.21060842433697347
YNL097C,PHO23,,dma4020,0.21019108280254778
YOR259C,RPT4,rpt4-145,tsa263-37C,0.2097560975609756
YDL017W,CDC7,cdc7-4,tsa131-37C,0.20869565217391303
YLR262C,YPT6,,dma3304,0.20833333333333334
YBR060C,ORC2,orc2-4,tsa309-37C,0.20508166969147004
YOR244W,ESA1,esa1-l254p,tsa560-37C,0.20504201680672268
YDR082W,STN1,stn1-13,tsa599-37C,0.203125
YIL004C,BET1,bet1-1,tsa792-37C,0.20279720279720279
YFL008W,SMC1,smc1-2,tsa321-37C,0.2015065913370998
YHR166C,CDC23,cdc23-1,tsa86-37C,0.2
YPL239W,YAR1,,dma4962,0.2
YGR116W,SPT6,spt6-14,tsa834-37C,0.2
YEL002C,WBP1,wbp1-2,tsa581-37C,0.2
YNL199C,GCR2,,dma4071,0.1990521327014218
YBL040C,ERD2,erd2-5001,tsa1072-37C,0.19607843137254902
YLR459W,GAB1,gab1-3,tsa202-37C,0.1949685534591195
YBR160W,CDC28,cdc28-1,tsa174-37C,0.1949685534591195
YJR066W,TOR1,,dma5319,0.1935483870967742
YKL193C,SDS22,sds22-6,tsa573-37C,0.1925601750547046
YDR171W,HSP42,,dma954,0.19230769230769232
YNL118C,DCP2,dcp2-7,tsa743-37C,0.1910828025477707
YDR208W,MSS4,mss4-103,tsa129-37C,0.19065656565656566
YFR004W,RPN11,rpn11-14,tsa534-37C,0.1895734597156398
YDR052C,DBF4,dbf4-3,tsa163-37C,0.1893491124260355
YDL126C,CDC48,cdc48-4601,tsa851-37C,0.18888888888888888
YBL024W,NCL1,,dma116,0.18867924528301888
YBR289W,SNF5,,dma449,0.18867924528301888
YGL145W,TIP20,tip20-5,tsa271-37C,0.18716577540106952
YJL117W,PHO86,,dma5181,0.18604651162790697
YDL014W,NOP1,nop1-3,tsa128-37C,0.18548387096774194
YBL034C,STU1,stu1-5,tsa274-37C,0.18541666666666667
YER151C,UBP3,,dma1447,0.18461538461538463
YPL161C,BEM4,,dma4906,0.18333333333333332
YGL137W,SEC27,sec27-1,tsa546-37C,0.1825726141078838
YER038C,KRE29,kre29-ts2,tsa996-37C,0.18181818181818182
YGR075C,PRP38,prp38-1,tsa480-37C,0.1813236627379873
YHR107C,CDC12,cdc12-1,tsa30-37C,0.1810344827586207
YDR310C,SUM1,,dma1063,0.18072289156626506
YNL163C,RIA1,ria1-ts,tsa1019-37C,0.18018018018018017
YDL220C,CDC13,cdc13-1,tsa881-37C,0.1792452830188679
YDR052C,DBF4,dbf4-2,tsa162-37C,0.17916666666666667
YLR347C,KAP95,kap95-l63a,tsa226-37C,0.17913832199546487
YHR191C,CTF8,ctf8-162,tsa322-37C,0.17857142857142858
YNL127W,FAR11,,dma4024,0.17777777777777778
YMR236W,TAF9,taf9-ts2,tsa730-37C,0.17718446601941748
YGR074W,SMD1,smd1-1,tsa748-37C,0.175
YBR060C,ORC2,orc2-2,tsa311-37C,0.1749502982107356
YMR308C,PSE1,pse1-41,tsa683-37C,0.17486338797814208
YOR028C,CIN5,,dma4441,0.1746031746031746
YDR052C,DBF4,dbf4-4,tsa164-37C,0.1745152354570637
YKL042W,SPC42,spc42-10,tsa451-37C,0.17419354838709677
YDL195W,SEC31,sec31-1,tsa852-37C,0.17415730337078653
YNL262W,POL2,pol2-12,tsa20-37C,0.1741424802110818
YDR288W,NSE3,nse3-ts3,tsa994-37C,0.17391304347826086
YML126C,ERG13,erg13-5001,tsa1104-37C,0.17279411764705882
YDR498C,SEC20,sec20-1,tsa55-37C,0.17219917012448133
YMR094W,CTF13,ctf13-30,tsa59-37C,0.17194570135746606
YDR424C,DYN2,,dma1174,0.17159763313609466
YLR212C,TUB4,tub4-y445d,tsa717-37C,0.17117117117117117
YNL241C,ZWF1,,dma4109,0.17073170731707318
YNR026C,SEC12,sec12-4,tsa60-37C,0.17052980132450332
YGL116W,CDC20,cdc20-2,tsa417-37C,0.16981132075471697
YER013W,PRP22,prp22-1,tsa237-37C,0.16932907348242812
YGR274C,TAF1,taf1-2,tsa525-37C,0.1691616766467066
YDR243C,PRP28,prp28-101,tsa574-37C,0.16901408450704225
YDL232W,OST4,ost4-supp2,dma805,0.16883116883116883
YLR440C,SEC39,sec39-1,tsa725-37C,0.1686182669789227
YGR179C,OKP1,okp1-5,tsa227-37C,0.16790123456790124
YGL048C,RPT6,rpt6-1-supp1,tsa906-37C,0.16766467065868262
YDR145W,TAF12,taf12-w486stop,tsa515-37C,0.16751269035532995
YDR497C,ITR1,,dma1223,0.16666666666666666
YMR227C,TAF7,taf7-ts1,tsa638-37C,0.16666666666666666
YMR296C,LCB1,lcb1-4,tsa602-37C,0.16666666666666666
YHR036W,BRL1,brl1-k405i,tsa1043-37C,0.16666666666666666
YJR093C,FIP1,fip1-5001,tsa1096-37C,0.16612377850162866
YDL064W,UBC9,ubc9-2,tsa370-37C,0.16607142857142856
YKR086W,PRP16,prp16-2,tsa598-37C,0.16579406631762653
YLR086W,SMC4,smc4-1,tsa264-37C,0.16549295774647887
YER133W,GLC7,glc7-10,tsa184-37C,0.16521739130434782
YDR052C,DBF4,dbf4-ts,tsa95-37C,0.16515837104072398
