ORF,Name,Allele,Strain ID,Cluster_normal-4
YLR215C,CDC123,cdc123-4,tsa946-37C,0.24285714285714285
YIL115C,NUP159,nup159-1,tsa553-37C,0.22093023255813954
YBR058C-A,TSC3,tsc3-2,tsa571-37C,0.2087912087912088
YGR201C,,,dma1964,0.19753086419753085
YIR008C,PRI1,pri1-m4,tsa340-37C,0.19047619047619047
YKL018W,SWD2,swd2-1,tsa893-37C,0.18446601941747573
YFL039C,ACT1,act1-121,tsa911-37C,0.18110236220472442
YML069W,POB3,pob3-l78r,tsa846-37C,0.17391304347826086
YDL084W,SUB2,sub2-1,tsa976-37C,0.17040358744394618
YGL098W,USE1,use1-ts,tsa592-37C,0.17015706806282724
YDR312W,SSF2,,dma1062,0.16911764705882354
YOL136C,PFK27,,dma4413,0.1686746987951807
YPR108W,RPN7,rpn7-3,tsa1037-37C,0.16304347826086957
YDR489W,SLD5,sld5-5001,tsa1058-37C,0.16
YGL112C,TAF6,taf6-ts,tsa608-37C,0.15894039735099338
YOR122C,PFY1,pfy1-14,tsa429-37C,0.15789473684210525
YAL003W,EFB1,efb1-4,tsa987-37C,0.1568627450980392
YGL097W,SRM1,srm1-ts,tsa955-37C,0.15298507462686567
YKL022C,CDC16,cdc16-1,tsa883-37C,0.1509433962264151
YER157W,COG3,cog3-2,tsa47-37C,0.15060240963855423
YML126C,ERG13,erg13-5001,tsa1104-37C,0.15040650406504066
YDR062W,LCB2,lcb2-16,tsa585-37C,0.14984709480122324
YIL109C,SEC24,sec24-20,tsa456-37C,0.14925373134328357
YGR156W,PTI1,pti1-ts1-supp1,tsa835-37C,0.14772727272727273
YFR037C,RSC8,rsc8-ts16,tsa998-37C,0.14615384615384616
YPL169C,MEX67,mex67-ts5,tsa816-37C,0.14545454545454545
YDR168W,CDC37,cdc37-ts,tsa315-37C,0.14541387024608501
YPR168W,NUT2,nut2-ts,tsa818-37C,0.14457831325301204
YJR118C,ILM1,,dma2723,0.14432989690721648
YDL207W,GLE1,gle1-4,tsa920-37C,0.14361702127659576
YJR045C,SSC1,ssc1-2,tsa328-37C,0.14356435643564355
YDR050C,TPI1,tpi1-1670,tsa988-37C,0.14285714285714285
YMR296C,LCB1,lcb1-2,tsa603-37C,0.14285714285714285
