"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions"
61075310,"YDL081C","RPP1A","rpp1a-supp1","dma681","Om45_R1_Plate02",2,17,162,2,"S/G2 phase"
61088656,"YCL016C","DCC1","","dma473","Om45_R1_Plate02",15,10,1384,33,"S/G2 phase"
61126260,"YDR186C","","","dma966","Om45_R1_Plate03",2,12,143,4,"G1 phase"
61126338,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,42,"G1 phase"
61126372,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,77,"G1 phase"
61126533,"YDR185C","UPS3","","dma967","Om45_R1_Plate03",2,14,152,44,"S/G2 phase"
61161301,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,213,"MA-single"
61161322,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,234,"S/G2 phase"
61161348,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,532,11,"S/G2 phase"
61161470,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,532,140,"S/G2 phase"
61161474,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,532,144,"S/G2 phase"
61165339,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,132,39,"S/G2 phase"
61167164,"YER145C","FTR1","","dma1450","Om45_R1_Plate04",2,19,171,7,"G1 phase"
61210499,"YER161C","SPT2","","dma1464","Om45_R1_Plate04",4,23,378,38,"S/G2 phase"
61211707,"YDR455C","","","dma1179","Om45_R1_Plate04",5,6,405,41,"T phase"
61211760,"YDR455C","","","dma1179","Om45_R1_Plate04",5,6,407,7,"MA phase"
61216140,"YEL061C","CIN8","","dma1302","Om45_R1_Plate04",9,11,811,2,"MA phase"
61264353,"YFR040W","SAP155","","dma1580","Om45_R1_Plate05",7,16,639,6,"G1 phase"
61297328,"YGL173C","XRN1","","dma1708","Om45_R1_Plate05",13,7,1180,7,"G1 phase"
61311213,"YHR191C","CTF8","","dma2228","Om45_R1_Plate06",4,15,346,2,"S/G2 phase"
61356939,"YIL084C","SDS3","","dma2337","Om45_R1_Plate07",5,18,453,3,"S/G2 phase"
61357942,"YJR025C","BNA1","","dma2622","Om45_R1_Plate07",6,11,523,18,"MA phase"
61402503,"YKL032C","IXR1","","dma2770","Om45_R1_Plate08",13,20,1228,41,"T phase"
61402581,"YKL032C","IXR1","","dma2770","Om45_R1_Plate08",13,20,1230,22,"T phase"
61406923,"YKR020W","VPS51","","dma2932","Om45_R1_Plate08",10,8,894,10,"S/G2 phase"
61408105,"YLL002W","RTT109","","dma3033","Om45_R1_Plate08",10,17,931,2,"S/G2 phase"
61426585,"YKR099W","BAS1","","dma3018","Om45_R1_Plate08",8,11,715,5,"MA phase"
61427899,"YKR001C","VPS1","","dma2924","Om45_R1_Plate08",8,16,734,16,"S/G2 phase"
61452534,"YLR324W","PEX30","","dma3368","Om45_R1_Plate09",2,15,153,30,"G1 phase"
61452766,"YLR320W","MMS22","","dma3369","Om45_R1_Plate09",2,17,161,3,"MA phase"
61452797,"YLR320W","MMS22","","dma3369","Om45_R1_Plate09",2,17,163,10,"G1 phase"
61469925,"YLR404W","SEI1","","dma3442","Om45_R1_Plate09",14,19,1320,19,"G1 phase"
61471233,"YLR085C","ARP6","","dma3157","Om45_R1_Plate09",15,2,1349,31,"G1 phase"
61492191,"YLR313C","SPH1","","dma3337","Om45_R1_Plate09",14,2,1254,5,"G1 phase"
61492192,"YLR313C","SPH1","","dma3337","Om45_R1_Plate09",14,2,1254,6,"G1 phase"
61522756,"YLR354C","TAL1","","dma3389","Om45_R1_Plate09",6,9,515,11,"G1 phase"
61522758,"YLR354C","TAL1","","dma3389","Om45_R1_Plate09",6,9,515,13,"G1 phase"
61568338,"YML081C-A","ATP18","","dma3578","Om45_R1_Plate10",5,3,394,11,"G1 phase"
61587281,"YMR120C","ADE17","","dma3718","Om45_R1_Plate10",12,20,1133,19,"G1 phase"
61587286,"YMR120C","ADE17","","dma3718","Om45_R1_Plate10",12,20,1133,24,"G1 phase"
61616731,"YNL241C","ZWF1","","dma4109","Om45_R1_Plate11",14,10,1287,7,"G1 phase"
61616735,"YNL241C","ZWF1","","dma4109","Om45_R1_Plate11",14,10,1287,11,"MA-single"
61616741,"YNL241C","ZWF1","","dma4109","Om45_R1_Plate11",14,10,1288,5,"S/G2 phase"
61628964,"YNL199C","GCR2","","dma4071","Om45_R1_Plate11",8,6,696,4,"S/G2 phase"
61638078,"YNL179C","","","dma4060","Om45_R1_Plate11",6,8,509,34,"S/G2 phase"
61638081,"YNL179C","","","dma4060","Om45_R1_Plate11",6,8,509,38,"MA-single"
61638163,"YNL179C","","","dma4060","Om45_R1_Plate11",6,8,512,34,"MA phase"
61674437,"YPL055C","LGE1","","dma4805","Om45_R1_Plate13",2,10,133,4,"G1 phase"
61674470,"YPL055C","LGE1","","dma4805","Om45_R1_Plate13",2,10,136,7,"G1 phase"
61674471,"YPL055C","LGE1","","dma4805","Om45_R1_Plate13",2,10,136,8,"G1 phase"
61841779,"YBR095C","RXT2","","dma259","Om45_R2_Plate01",12,14,1110,16,"MA phase"
61841804,"YBR095C","RXT2","","dma259","Om45_R2_Plate01",12,14,1110,41,"S/G2 phase"
61851864,"YDL106C","PHO2","","dma688","Om45_R2_Plate02",4,7,315,5,"G1 phase"
61851865,"YDL106C","PHO2","","dma688","Om45_R2_Plate02",4,7,315,6,"MA phase"
61859727,"YCL016C","DCC1","","dma473","Om45_R2_Plate02",15,10,1384,9,"G1 phase"
61861881,"YCL009C","ILV6","","dma479","Om45_R2_Plate02",15,22,1430,11,"MA phase"
61868076,"YCR028C-A","RIM1","","dma561","Om45_R2_Plate02",13,17,1217,10,"MA phase"
61899790,"YDR186C","","","dma966","Om45_R2_Plate03",2,12,141,58,"S/G2 phase"
61900004,"YDR310C","SUM1","","dma1063","Om45_R2_Plate03",2,13,146,15,"S/G2 phase"
61900017,"YDR310C","SUM1","","dma1063","Om45_R2_Plate03",2,13,146,28,"MA-single"
61900051,"YDR310C","SUM1","","dma1063","Om45_R2_Plate03",2,13,147,11,"S/G2 phase"
61947115,"YDR150W","NUM1","","dma946","Om45_R2_Plate03",13,19,1227,6,"S/G2 phase"
