"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
164792604,"YDR207C","UME6","","dma979","Spf1_R1_Plate03",4,14,344,10,"G1 phase",-0.401604174872556,-0.398109916687001
164799992,"YDR289C","RTT103","","dma1037","Spf1_R1_Plate03",14,10,1287,8,"S/G2 phase",-0.147428209937901,0.0239410414641196
164804929,"YDL218W","","","dma815","Spf1_R1_Plate03",7,22,663,29,"G1 phase",-0.570190274063909,-0.592100975367631
164804967,"YDL218W","","","dma815","Spf1_R1_Plate03",7,22,664,12,"G1 phase",-0.458664085368091,-0.496802966483821
164807916,"YDR369C","XRS2","","dma1097","Spf1_R1_Plate03",8,9,706,5,"G1 phase",-0.684310095054979,-0.508369791920008
164808444,"YDR368W","YPR1","","dma1098","Spf1_R1_Plate03",8,11,713,19,"G1 phase",-0.325092022162635,-0.291245082367004
164814174,"YDR154C","","","dma942","Spf1_R1_Plate03",13,11,1195,3,"MA-single",-0.389932829543924,-0.413071783036199
164814181,"YDR154C","","","dma942","Spf1_R1_Plate03",13,11,1196,11,"G1 phase",-0.882722965641725,-0.917472221937787
164823380,"YDR146C","SWI5","","dma927","Spf1_R1_Plate03",11,5,979,9,"G1 phase",-1.23805059009119,-1.29388751386286
164831330,"YDR270W","CCC2","","dma1029","Spf1_R1_Plate03",12,18,1126,5,"G1 phase",-1.1330084821335,-1.2149330740254
164831337,"YDR270W","CCC2","","dma1029","Spf1_R1_Plate03",12,18,1126,12,"G1 phase",-1.24323785468169,-1.37761869731048
164831427,"YDR270W","CCC2","","dma1029","Spf1_R1_Plate03",12,18,1127,50,"MA-single",-1.10577534303336,-1.14553212140828
164833295,"YDR388W","RVS167","","dma1128","Spf1_R1_Plate03",12,23,1148,36,"G1 phase",-1.28603278755335,-1.44500631171175
164835221,"YDR074W","TPS2","","dma887","Spf1_R1_Plate03",3,21,274,15,"G1 phase",-1.14338301131451,-1.23127664307176
164846449,"YDL194W","SNF3","","dma783","Spf1_R1_Plate03",3,6,215,7,"G1 phase",-1.19136520877666,-1.29866425747302
164854438,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,630,13,"G1 phase",-1.16455916983443,-1.22727295577959
164854497,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,631,35,"S/G2 phase",0.656749049313819,0.621306540700327
164883201,"YDR497C","ITR1","","dma1223","Spf1_R1_Plate04",11,22,1045,20,"G1 phase",-1.50039216050071,-1.69413145622219
164883212,"YDR497C","ITR1","","dma1223","Spf1_R1_Plate04",11,22,1045,31,"G1 phase",-0.984927570175728,-1.07099005637183
164883226,"YDR497C","ITR1","","dma1223","Spf1_R1_Plate04",11,22,1047,10,"G1 phase",-0.299203463652502,-0.367612261785326
164883230,"YDR497C","ITR1","","dma1223","Spf1_R1_Plate04",11,22,1047,14,"T phase",-0.153936170015463,0.134598436076919
164900391,"YER061C","CEM1","","dma1363","Spf1_R1_Plate04",4,14,341,7,"S/G2 phase",-0.714699163732635,-0.719720148085033
164969578,"YER120W","SCS2","","dma1408","Spf1_R1_Plate04",12,8,1086,10,"G1 phase",-0.57880395355605,-0.584281951748421
