"Marker-Feature","Cluster 0","Cluster 1","Cluster 2","Cluster 3","Cluster 4","Cluster 5","Cluster 6","Cluster 7","Cluster 8","Cluster 9","Cluster 10","Cluster 11"
"Cdc11 Area","1.48501573510967","-0.200939733593014","1.2254703146531","0.0824798733969328","2.58158561189901","-0.0307133181673119","-0.111829435269293","-0.220548407478978","0.604497947916907","1.58737286316123","2.17054126861088","-0.660505273410756"
"Cdc11 Perimeter","0.90177112308797","-0.327266489982328","0.974062005386823","-0.299197248736432","1.97689033303593","-0.248973909901977","-0.314395439852728","-0.279810822956211","0.460092940058209","1.50001628360686","1.48182856266028","-0.747440561269974"
"Om45 Area","-0.345380868620084","-0.425336549776472","1.40982198395578","1.55003983754939","-0.301863004141614","0.0127761933156017","0.150591938247594","-0.077796762874949","1.7109379852732","0.565360096707681","-0.150677565755122","1.46867157661126"
"Om45 Perimeter","-0.421062927413974","-0.617924031711902","1.01770341821108","1.2735001745496","-0.649835600012839","-0.289226966943985","-0.0170170267080644","-0.213480053369766","1.52614461438719","0.386664785685232","-0.443871990964675","1.13101356998801"
"Sec21 Area","-0.0544736125651673","0.436931725494079","-0.112000677007366","1.38612833809271","0.112871126235615","0.620177341738606","1.40874057023385","-0.0992378690641404","1.10513972475993","0.0364450679100467","0.269954484756806",NA
"Sec21 Perimeter","-0.282838101429371","0.205469397573501","-0.305223973469665","0.644184155284678","0.0470127710408756","0.260010189977281","1.11163770236855","-0.267461728726655","0.881173473047822","-0.092504091743902","0.124734534289374",NA
"Spf1 Area","-0.0442690074209474","0.818119000415861","-0.631110864279457","1.68877888784027","0.477438770648857","0.687649691196688","0.959913848807418","-0.212232968468253","0.22846638244081","-0.226035044892427","-0.198257958907621",NA
"Spf1 Perimeter","-0.157758960313361","0.557577768701802","-0.613793699325289","1.49135683920106","0.306124375310749","0.302027713396568","0.705239352642608","-0.384288586305336","0.0324609528498367","-0.312818416460925","-0.39367988137838",NA
"Vph1 Area","-0.363133117111178","1.68701335243531","1.87759731536851","-0.093637523031812","0.323578064262782","-0.618777706101975","0.692900028736006","1.14309268241934","-0.36529008326973","-0.965581479853963","0.0627057230989334","0.224355302075041"
"Vph1 Perimeter","-0.54509908564354","1.65003742529463","1.52170767576271","-0.153847908612077","0.11235738591419","-0.584704265884906","0.796591678339483","1.24467613485872","-0.417823618443317","-1.00236024200636","-0.020519550807241","0.11283113476737"
