"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions"
129554242,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,547,16,"G1 phase"
129635560,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,562,20,"G1 phase"
129635591,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,563,17,"G1 phase"
129648380,"YDR455C","","","dma1179","Sec21_R1_Plate04",5,6,406,6,"G1 phase"
129663577,"YDR497C","ITR1","","dma1223","Sec21_R1_Plate04",11,22,1045,10,"G1 phase"
129671437,"YER145C","FTR1","","dma1450","Sec21_R1_Plate04",2,19,169,8,"G1 phase"
129671438,"YER145C","FTR1","","dma1450","Sec21_R1_Plate04",2,19,171,2,"G1 phase"
129671461,"YER145C","FTR1","","dma1450","Sec21_R1_Plate04",2,19,172,12,"G1 phase"
129676230,"YFR010W","UBP6","","dma1515","Sec21_R1_Plate04",14,5,1266,10,"G1 phase"
129676236,"YFR010W","UBP6","","dma1515","Sec21_R1_Plate04",14,5,1266,16,"G1 phase"
129682696,"YER111C","SWI4","","dma1394","Sec21_R1_Plate04",10,4,879,3,"G1 phase"
129682701,"YER111C","SWI4","","dma1394","Sec21_R1_Plate04",10,4,879,8,"G1 phase"
129860849,"YKL069W","","","dma2802","Sec21_R1_Plate08",3,11,235,28,"MA-single"
129860870,"YKL069W","","","dma2802","Sec21_R1_Plate08",3,11,236,13,"G1 phase"
129904320,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,469,52,"G1 phase"
129904342,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,469,75,"G1 phase"
129904390,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,470,46,"G1 phase"
129904406,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,471,7,"MA-single"
129904428,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,471,29,"G1 phase"
129904457,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,471,58,"G1 phase"
129904461,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,471,62,"G1 phase"
129904485,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,472,13,"G1 phase"
129904496,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,472,26,"G1 phase"
129904499,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,472,29,"G1 phase"
129906961,"YKL213C","DOA1","","dma2910","Sec21_R1_Plate08",6,12,525,8,"G1 phase"
129906964,"YKL213C","DOA1","","dma2910","Sec21_R1_Plate08",6,12,525,11,"G1 phase"
129906998,"YKL213C","DOA1","","dma2910","Sec21_R1_Plate08",6,12,527,7,"G1 phase"
129906999,"YKL213C","DOA1","","dma2910","Sec21_R1_Plate08",6,12,527,8,"G1 phase"
129907005,"YKL213C","DOA1","","dma2910","Sec21_R1_Plate08",6,12,527,15,"G1 phase"
130210009,"YPL055C","LGE1","","dma4805","Sec21_R1_Plate13",2,10,133,8,"G1 phase"
130341095,"YBL007C","SLA1","","dma91","Sec21_R2_Plate01",15,14,1397,10,"G1 phase"
130390669,"YDL074C","BRE1","","dma651","Sec21_R2_Plate02",14,6,1270,12,"G1 phase"
130390670,"YDL074C","BRE1","","dma651","Sec21_R2_Plate02",14,6,1270,13,"G1 phase"
130534221,"YDR497C","ITR1","","dma1223","Sec21_R2_Plate04",11,22,1045,12,"G1 phase"
130534226,"YDR497C","ITR1","","dma1223","Sec21_R2_Plate04",11,22,1045,17,"G1 phase"
130546140,"YFR010W","UBP6","","dma1515","Sec21_R2_Plate04",14,5,1263,7,"G1 phase"
130573961,"YFR040W","SAP155","","dma1580","Sec21_R2_Plate05",7,16,638,12,"G1 phase"
130615259,"YGL211W","NCS6","","dma1733","Sec21_R2_Plate05",2,10,134,25,"G1 phase"
130735791,"YJR075W","HOC1","","dma2662","Sec21_R2_Plate07",12,19,1131,8,"G1 phase"
