"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions"
249832743,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,19,"MA-single"
249832751,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,27,"MA-single"
249832781,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,58,"S/G2 phase"
249832815,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,93,"MA-single"
249832873,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,151,"G1 phase"
249832889,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,167,"MA-single"
249832893,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,171,"MA-single"
249832921,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,201,"MA-single"
249832950,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,230,"MA-single"
249833046,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,327,"MA-single"
249833278,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,559,"MA-single"
249833380,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,1,"MA-single"
249833459,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,82,"MA-single"
249833463,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,86,"MA-single"
249833538,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,161,"MA-single"
249833700,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,323,"G1 phase"
249833849,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,472,"MA-single"
249833899,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,522,"MA-single"
249833937,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,561,"G1 phase"
249834074,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,60,"MA-single"
249834090,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,77,"G1 phase"
249834096,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,83,"MA-single"
249834113,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,100,"MA-single"
249834145,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,133,"MA-single"
249834187,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,175,"MA-single"
249834193,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,181,"MA-single"
249834365,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,354,"MA-single"
249834471,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,462,"G1 phase"
249834488,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,479,"MA-single"
249834581,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,572,"MA-single"
249834636,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,628,"MA-single"
249834651,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,643,"G1 phase"
249834725,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,717,"MA-single"
249834758,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,14,"MA-single"
249834809,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,66,"MA-single"
249834829,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,86,"G1 phase"
249834861,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,119,"G1 phase"
249835135,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,394,"MA-single"
249835217,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,478,"MA-single"
249835264,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,527,"G1 phase"
249835308,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,571,"MA-single"
249859221,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,398,"MA-single"
249859260,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,438,"MA-single"
249859278,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,456,"MA-single"
249859291,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,470,"G1 phase"
249859297,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,476,"G1 phase"
249859336,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,515,"MA-single"
249859349,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,528,"MA-single"
249859421,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,601,"G1 phase"
249859439,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,619,"MA-single"
249859542,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,723,"G1 phase"
249859547,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,728,"G1 phase"
249859575,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,756,"G1 phase"
249859607,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,789,"MA-single"
249859699,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,882,"MA-single"
249859700,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,883,"MA-single"
249859746,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,929,"S/G2 phase"
249859778,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,961,"MA-single"
249859823,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1006,"G1 phase"
249859847,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1030,"MA-single"
249859949,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1132,"G1 phase"
249860047,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1230,"MA-single"
249860107,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1290,"G1 phase"
249860117,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1300,"G1 phase"
249860204,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1388,"G1 phase"
249860212,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1396,"G1 phase"
249860248,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1432,"G1 phase"
249860302,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1487,"MA-single"
249860349,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1535,"G1 phase"
249860406,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1594,"G1 phase"
249860410,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1599,"G1 phase"
249860422,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,1611,"G1 phase"
249860829,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,638,356,"MA-single"
249860860,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,638,387,"G1 phase"
249861181,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,638,711,"MA-single"
249861229,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,638,759,"G1 phase"
249861268,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,638,798,"MA-single"
249861383,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,638,915,"MA-single"
249861413,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,13,"G1 phase"
249861417,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,17,"MA-single"
249861523,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,123,"S/G2 phase"
249861538,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,138,"MA-single"
249861542,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,142,"G1 phase"
249861559,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,159,"MA-single"
249861621,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,222,"S/G2 phase"
249861658,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,259,"MA-single"
249861698,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,300,"G1 phase"
249861711,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,313,"G1 phase"
249861741,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,343,"G1 phase"
249861753,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,355,"MA-single"
249861757,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,359,"G1 phase"
249861779,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,382,"G1 phase"
249861799,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,402,"MA-single"
249861814,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,418,"G1 phase"
249861828,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,432,"S/G2 phase"
249861931,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,538,"S/G2 phase"
249862113,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,723,"MA-single"
249898812,"YBR289W","SNF5","","dma449","Vph1_R1_Plate02",11,10,999,1,"MA-single"
249898817,"YBR289W","SNF5","","dma449","Vph1_R1_Plate02",11,10,999,6,"MA-single"
249898821,"YBR289W","SNF5","","dma449","Vph1_R1_Plate02",11,10,999,10,"G1 phase"
249898829,"YBR289W","SNF5","","dma449","Vph1_R1_Plate02",11,10,999,18,"G1 phase"
249898833,"YBR289W","SNF5","","dma449","Vph1_R1_Plate02",11,10,999,22,"MA-single"
249927172,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,6,"MA-single"
249927209,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,44,"S/G2 phase"
249927363,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,201,"MA-single"
249927945,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,518,339,"G1 phase"
249928193,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,519,119,"G1 phase"
249928250,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,519,176,"MA-single"
249928537,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,520,5,"G1 phase"
249928758,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,520,237,"S/G2 phase"
249928952,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,520,442,"S/G2 phase"
249931624,"YCR099C","","","dma606","Vph1_R1_Plate02",6,12,525,169,"MA-single"
249931870,"YCR099C","","","dma606","Vph1_R1_Plate02",6,12,526,68,"G1 phase"
249932088,"YCR099C","","","dma606","Vph1_R1_Plate02",6,12,526,290,"G1 phase"
249932214,"YCR099C","","","dma606","Vph1_R1_Plate02",6,12,526,420,"G1 phase"
249932631,"YCR099C","","","dma606","Vph1_R1_Plate02",6,12,528,13,"G1 phase"
249932680,"YCR099C","","","dma606","Vph1_R1_Plate02",6,12,528,64,"MA-single"
249933054,"YCR099C","","","dma606","Vph1_R1_Plate02",6,12,528,453,"S/G2 phase"
249934759,"YCR098C","GIT1","","dma607","Vph1_R1_Plate02",6,14,533,224,"S/G2 phase"
249935108,"YCR098C","GIT1","","dma607","Vph1_R1_Plate02",6,14,534,178,"S/G2 phase"
249935512,"YCR098C","GIT1","","dma607","Vph1_R1_Plate02",6,14,535,205,"MA-single"
249935665,"YCR098C","GIT1","","dma607","Vph1_R1_Plate02",6,14,536,1,"S/G2 phase"
249935773,"YCR098C","GIT1","","dma607","Vph1_R1_Plate02",6,14,536,111,"MA-single"
249937692,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,541,137,"MA-single"
249937780,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,541,227,"MA-single"
249938024,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,542,78,"MA-single"
249938171,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,542,230,"S/G2 phase"
249938172,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,542,231,"MA-single"
249938333,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,542,394,"G1 phase"
249938436,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,543,92,"MA-single"
249938441,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,543,97,"G1 phase"
249938494,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,543,155,"G1 phase"
249938894,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,544,169,"S/G2 phase"
249938899,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,544,174,"MA-single"
249938910,"YCR095C","OCA4","","dma608","Vph1_R1_Plate02",6,16,544,185,"MA-single"
249939238,"YDL117W","CYK3","","dma705","Vph1_R1_Plate02",6,17,545,93,"MA-single"
249939428,"YDL117W","CYK3","","dma705","Vph1_R1_Plate02",6,17,545,284,"MA-single"
249939810,"YDL117W","CYK3","","dma705","Vph1_R1_Plate02",6,17,546,117,"S/G2 phase"
249939885,"YDL117W","CYK3","","dma705","Vph1_R1_Plate02",6,17,546,192,"MA-single"
249940446,"YDL117W","CYK3","","dma705","Vph1_R1_Plate02",6,17,547,268,"G1 phase"
249940589,"YDL117W","CYK3","","dma705","Vph1_R1_Plate02",6,17,547,412,"MA-single"
249940698,"YDL117W","CYK3","","dma705","Vph1_R1_Plate02",6,17,547,521,"MA-single"
249940836,"YDL117W","CYK3","","dma705","Vph1_R1_Plate02",6,17,548,123,"G1 phase"
249941358,"YCR092C","MSH3","","dma609","Vph1_R1_Plate02",6,18,549,92,"S/G2 phase"
249941795,"YCR092C","MSH3","","dma609","Vph1_R1_Plate02",6,18,550,66,"S/G2 phase"
249941844,"YCR092C","MSH3","","dma609","Vph1_R1_Plate02",6,18,550,118,"G1 phase"
249942173,"YCR092C","MSH3","","dma609","Vph1_R1_Plate02",6,18,551,34,"G1 phase"
249942260,"YCR092C","MSH3","","dma609","Vph1_R1_Plate02",6,18,551,126,"MA-single"
249942466,"YCR092C","MSH3","","dma609","Vph1_R1_Plate02",6,18,551,335,"MA-single"
249942498,"YCR092C","MSH3","","dma609","Vph1_R1_Plate02",6,18,551,367,"S/G2 phase"
249942686,"YCR092C","MSH3","","dma609","Vph1_R1_Plate02",6,18,552,103,"MA-single"
249942857,"YCR092C","MSH3","","dma609","Vph1_R1_Plate02",6,18,552,278,"S/G2 phase"
249946650,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,557,451,"MA-single"
249946691,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,558,37,"S/G2 phase"
249946791,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,558,139,"S/G2 phase"
249947175,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,559,127,"MA-single"
249947339,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,559,296,"G1 phase"
249947396,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,559,353,"MA-single"
249947494,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,559,452,"G1 phase"
249947564,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,560,72,"MA-single"
249947767,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,560,283,"MA-single"
249947851,"YCR091W","KIN82","","dma610","Vph1_R1_Plate02",6,20,560,369,"MA-single"
249951047,"YCR090C","","","dma611","Vph1_R1_Plate02",6,22,565,398,"MA-single"
249951628,"YCR090C","","","dma611","Vph1_R1_Plate02",6,22,567,74,"MA-single"
249951674,"YCR090C","","","dma611","Vph1_R1_Plate02",6,22,567,121,"MA-single"
249951698,"YCR090C","","","dma611","Vph1_R1_Plate02",6,22,567,146,"MA-single"
249951997,"YCR090C","","","dma611","Vph1_R1_Plate02",6,22,567,457,"MA-single"
249952261,"YCR090C","","","dma611","Vph1_R1_Plate02",6,22,568,270,"G1 phase"
249952339,"YCR090C","","","dma611","Vph1_R1_Plate02",6,22,568,351,"MA-single"
249952404,"YCR090C","","","dma611","Vph1_R1_Plate02",6,22,568,418,"G1 phase"
250002300,"YCR086W","CSM1","","dma593","Vph1_R1_Plate02",4,10,325,144,"S/G2 phase"
250002323,"YCR086W","CSM1","","dma593","Vph1_R1_Plate02",4,10,325,167,"G1 phase"
250002771,"YCR086W","CSM1","","dma593","Vph1_R1_Plate02",4,10,326,251,"MA-single"
250002894,"YCR086W","CSM1","","dma593","Vph1_R1_Plate02",4,10,326,375,"MA-single"
250003130,"YCR086W","CSM1","","dma593","Vph1_R1_Plate02",4,10,327,246,"G1 phase"
250003192,"YCR086W","CSM1","","dma593","Vph1_R1_Plate02",4,10,327,310,"G1 phase"
250003405,"YCR086W","CSM1","","dma593","Vph1_R1_Plate02",4,10,328,57,"G1 phase"
250003693,"YCR086W","CSM1","","dma593","Vph1_R1_Plate02",4,10,328,356,"MA-single"
250006482,"YCR085W","","","dma594","Vph1_R1_Plate02",4,12,333,272,"S/G2 phase"
250006597,"YCR085W","","","dma594","Vph1_R1_Plate02",4,12,334,8,"G1 phase"
250006618,"YCR085W","","","dma594","Vph1_R1_Plate02",4,12,334,30,"MA-single"
250006731,"YCR085W","","","dma594","Vph1_R1_Plate02",4,12,334,146,"G1 phase"
250007088,"YCR085W","","","dma594","Vph1_R1_Plate02",4,12,335,40,"MA-single"
250007538,"YCR085W","","","dma594","Vph1_R1_Plate02",4,12,336,103,"S/G2 phase"
250011877,"YCR083W","TRX3","","dma595","Vph1_R1_Plate02",4,14,341,202,"G1 phase"
250012277,"YCR083W","TRX3","","dma595","Vph1_R1_Plate02",4,14,343,9,"G1 phase"
250012396,"YCR083W","TRX3","","dma595","Vph1_R1_Plate02",4,14,343,135,"MA-single"
250012613,"YCR083W","TRX3","","dma595","Vph1_R1_Plate02",4,14,344,66,"G1 phase"
250015807,"YCR082W","AHC2","","dma596","Vph1_R1_Plate02",4,16,350,163,"MA-single"
250023042,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,366,4,"MA-single"
250023106,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,366,70,"S/G2 phase"
250023214,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,366,186,"S/G2 phase"
250023257,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,366,232,"G1 phase"
250023522,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,366,504,"G1 phase"
250023560,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,367,3,"S/G2 phase"
250023746,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,367,191,"MA-single"
250023756,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,367,201,"MA-single"
250024342,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,368,269,"G1 phase"
250024360,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,368,288,"S/G2 phase"
250024403,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,368,331,"MA-single"
250024407,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,368,335,"S/G2 phase"
250024555,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,368,485,"S/G2 phase"
250024582,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,368,512,"G1 phase"
250024600,"YCR079W","PTC6","","dma598","Vph1_R1_Plate02",4,20,368,530,"G1 phase"
250027302,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,373,114,"MA-single"
250027336,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,373,149,"MA-single"
250027508,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,373,323,"MA-single"
250027606,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,373,425,"MA-single"
250027630,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,373,449,"MA-single"
250027635,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,373,454,"G1 phase"
250027787,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,373,612,"MA-single"
250027809,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,13,"G1 phase"
250027826,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,30,"G1 phase"
250028004,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,219,"S/G2 phase"
250028040,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,255,"MA-single"
250028107,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,325,"MA-single"
250028145,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,364,"G1 phase"
250028161,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,380,"MA-single"
250028191,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,410,"MA-single"
250028262,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,486,"G1 phase"
250028289,"YCR077C","PAT1","","dma599","Vph1_R1_Plate02",4,22,374,515,"MA-single"
